,0
0,56491
1,56590
2,56518
3,56491
4,56833
5,56554
6,56725
7,56383
8,56554
9,56662
10,56518
11,56455
12,56599
13,56482
14,57121
15,56671
16,56581
17,56815
18,56581
19,56590
20,56788
21,56725
22,56392
23,56725
24,56464
25,56563
26,56635
27,56491
28,56590
29,56392
30,56419
31,56815
32,56509
33,56761
34,56707
35,56527
36,56446
37,56365
38,56635
39,56572
40,57013
41,56446
42,56419
43,56473
44,56437
45,56707
46,56527
47,56644
48,56779
49,56356
50,57139
51,56428
52,56464
53,56671
54,56536
55,56617
56,56608
57,56725
58,56428
59,56509
60,56806
61,56410
62,56428
63,56419
64,56491
65,56554
66,56419
67,56554
68,56536
69,56563
70,56779
71,56689
72,56491
73,56734
74,56725
75,56491
76,57067
77,56482
78,56392
79,56437
80,56545
81,56401
82,56671
83,56428
84,56401
85,56482
86,56734
87,56824
88,56725
89,57121
90,56392
91,56437
92,56329
93,56761
94,56509
95,56653
96,56626
97,56401
98,56860
99,56986
100,56455
101,56635
102,56644
103,56500
104,56608
105,56482
106,57940
107,56500
108,56626
109,56491
110,56545
111,56518
112,56698
113,56518
114,56365
115,56572
116,56626
117,56743
118,56590
119,56608
120,56554
121,56770
122,56770
123,56509
124,56500
125,56473
126,56869
127,56635
128,56518
129,56608
130,56320
131,56590
132,56725
133,56482
134,56734
135,56617
136,56446
137,56491
138,56797
139,56554
140,56725
141,56608
142,56446
143,56545
144,56500
145,56563
146,56671
147,56383
148,56527
149,56608
150,56599
151,56716
152,56482
153,56617
154,56743
155,56554
156,56518
157,56716
158,56302
159,56410
160,56743
161,56797
162,56923
163,56806
164,56608
165,57148
166,56482
167,56383
168,56689
169,56356
170,56770
171,56419
172,56500
173,56761
174,56482
175,56518
176,56689
177,56491
178,56554
179,57274
180,56500
181,56437
182,56464
183,56518
184,56878
185,56500
186,56527
187,56365
188,56446
189,56572
190,56698
191,57193
192,56401
193,56644
194,56608
195,56653
196,56419
197,56365
198,56572
199,56869
200,56419
201,56950
202,56482
203,56554
204,56635
205,56527
206,56338
207,57301
208,56914
209,56347
210,56473
211,56626
212,56482
213,56545
214,56320
215,56599
216,57103
217,56671
218,56716
219,56410
220,56320
221,56707
222,56770
223,56455
224,56329
225,56680
226,56545
227,56581
228,56455
229,56698
230,56473
231,56518
232,56491
233,56716
234,56581
235,56491
236,56689
237,56428
238,56320
239,56437
240,56644
241,57094
242,56383
243,56617
244,56518
245,56338
246,56482
247,56338
248,56356
249,56581
250,56482
251,56671
252,56653
253,56392
254,56419
255,56410
256,56392
257,56608
258,56383
259,56446
260,56554
261,56509
262,56599
263,56320
264,56563
265,56527
266,56446
267,56500
268,56572
269,56545
270,57337
271,56410
272,56860
273,56446
274,56887
275,56491
276,56437
277,56482
278,56320
279,56545
280,56653
281,56545
282,56437
283,56509
284,56689
285,56770
286,56716
287,56473
288,57256
289,56509
290,56518
291,56995
292,57238
293,56689
294,56509
295,56527
296,56545
297,56437
298,56806
299,56563
300,57409
301,56545
302,56599
303,56491
304,56743
305,56482
306,57094
307,56545
308,56410
309,56509
310,56482
311,56671
312,56599
313,56590
314,56437
315,56599
316,56536
317,56554
318,56680
319,56491
320,56698
321,56509
322,56356
323,56617
324,56608
325,56572
326,56563
327,56833
328,56482
329,56464
330,56734
331,56392
332,56725
333,56509
334,56482
335,56464
336,56626
337,56446
338,56491
339,56473
340,56392
341,56428
342,56482
343,56644
344,56500
345,56536
346,56518
347,56428
348,56644
349,56536
350,56383
351,56428
352,56446
353,56563
354,56536
355,56437
356,56392
357,56572
358,56419
359,56581
360,56482
361,56572
362,56554
363,56644
364,56392
365,56428
366,56464
367,56581
368,56500
369,56716
370,56608
371,56464
372,56545
373,56626
374,56464
375,56554
376,56761
377,56482
378,56662
379,56374
380,56608
381,56392
382,56779
383,56482
384,57013
385,56473
386,56446
387,56437
388,57571
389,56446
390,56446
391,56491
392,56509
393,56509
394,56491
395,56680
396,56608
397,56518
398,56527
399,56887
400,56779
401,56707
402,56455
403,56563
404,56896
405,56689
406,56437
407,56509
408,56518
409,56437
410,56653
411,56455
412,56500
413,56428
414,56833
415,57175
416,56653
417,56653
418,56527
419,56338
420,56446
421,56491
422,56455
423,56653
424,56446
425,56653
426,56374
427,56365
428,56419
429,56365
430,56464
431,56491
432,56644
433,56482
434,56725
435,56698
436,56392
437,56554
438,56671
439,56581
440,56509
441,56563
442,56581
443,56779
444,56509
445,56401
446,56365
447,56410
448,56302
449,56491
450,56599
451,56554
452,56572
453,56563
454,56572
455,56671
456,56662
457,56626
458,56563
459,56428
460,56410
461,56428
462,56482
463,56653
464,56509
465,56545
466,56446
467,56401
468,56644
469,56752
470,56581
471,56572
472,56635
473,56671
474,56482
475,56455
476,56392
477,56617
478,57139
479,57103
480,56698
481,56545
482,57301
483,56734
484,56725
485,56662
486,56563
487,56536
488,56500
489,57319
490,56392
491,56482
492,56599
493,57175
494,56581
495,56455
496,56581
497,56779
498,56644
499,56437
500,56536
501,56725
502,57220
503,56626
504,56815
505,56500
506,56617
507,56410
508,56518
509,56941
510,56527
511,56455
512,56545
513,56437
514,56464
515,56932
516,56689
517,56437
518,56536
519,56248
520,56464
521,56428
522,56617
523,56788
524,56752
525,56581
526,56725
527,56545
528,56617
529,56680
530,56518
531,56662
532,56302
533,56509
534,56932
535,56500
536,56419
537,56635
538,56815
539,56608
540,56500
541,56914
542,56446
543,56518
544,56563
545,56545
546,56347
547,56950
548,56671
549,56554
550,56626
551,56581
552,56545
553,57004
554,56734
555,56338
556,57193
557,56851
558,56410
559,56347
560,56365
561,56518
562,56518
563,56482
564,56950
565,56518
566,56500
567,57319
568,56518
569,56608
570,56482
571,56410
572,56410
573,56500
574,56590
575,56473
576,56518
577,56563
578,56437
579,56671
580,56446
581,56356
582,56482
583,56356
584,56536
585,56374
586,56572
587,56680
588,56500
589,56428
590,56428
591,56599
592,56842
593,56518
594,56698
595,56374
596,56581
597,56707
598,56581
599,56545
600,56536
601,56662
602,56635
603,56554
604,56590
605,57976
606,56743
607,56545
608,56482
609,56671
610,57031
611,56824
612,56698
613,56941
614,56500
615,56653
616,56572
617,56581
618,56401
619,56698
620,56581
621,56419
622,56446
623,56473
624,56500
625,56527
626,56554
627,56797
628,56365
629,56500
630,56473
631,56527
632,56374
633,56464
634,56536
635,56356
636,56545
637,56554
638,56293
639,56608
640,56554
641,56356
642,56716
643,56491
644,56599
645,56428
646,56581
647,56617
648,56572
649,56770
650,56653
651,56401
652,56554
653,56653
654,56419
655,56635
656,56590
657,56473
658,56554
659,56500
660,56410
661,56581
662,56770
663,56419
664,56536
665,56581
666,56536
667,56617
668,56428
669,56842
670,56428
671,56581
672,56554
673,56752
674,56482
675,56608
